firm,year,eps,dps,bps,estimate
MDIA3,2020,,,19.6093,0
MDIA3,2021,1.6345,0.4996,20.7442,0
MDIA3,2022,1.0584,2.0129,19.7897,0
MDIA3,2023,2.8155,0.1725,22.4327,0
MDIA3,2024,1.9280,0.7679,23.5928,0
MDIA3,2025,1.9633,1.2547,24.3014,0
MDIA3,2026,2.3475,0.9630,25.6860,1
MDIA3,2027,2.5660,0.8378,27.4142,1
VIVA3,2020,,,4.9597,0
VIVA3,2021,1.2637,0.3290,5.8965,0
VIVA3,2022,1.5295,0.3995,7.0300,0
VIVA3,2023,1.5689,0.3789,8.2200,0
VIVA3,2024,2.7794,0.3794,10.6200,0
VIVA3,2025,2.6353,0.7053,12.5500,0
VIVA3,2026,2.8652,0.5882,14.8269,1
VIVA3,2027,3.3850,0.6658,17.5461,1
RADL3,2020,,,2.6475,0
RADL3,2021,0.4563,0.2654,2.8384,0
RADL3,2022,0.6044,0.2020,3.2408,0
RADL3,2023,0.6402,0.2669,3.6141,0
RADL3,2024,0.7281,0.4384,3.9038,0
RADL3,2025,0.7869,0.2477,4.4430,0
RADL3,2026,0.8837,0.3272,4.9996,1
RADL3,2027,1.0039,0.3449,5.6585,1
